0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-07 11:30:13', 0, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 11:30:17', 0.53, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 11:30:50', 12.22, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-07 11:32:11', 1.45, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 6, '2018-05-07 15:58:36', 1.6, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 6, '2018-05-07 15:58:56', 1.61, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:15:06', 1.69, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:15:24', 2.09, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:26:56', 0.67, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:27:29', 0.14, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:27:41', 0.26, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:28:55', 0.18, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:29:04', 0.23, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 12:29:15', 0.52, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 6, '2018-05-08 15:12:02', 0.93, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 15:44:40', 0.26, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:08:42', 0.1, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:10:41', 0.1, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:12:57', 0.22, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:14:03', 0.35, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:14:54', 0.17, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:15:30', 0.24, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:16:21', 0.11, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:16:47', 0.15, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:17:33', 1.87, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:17:48', 0.87, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:18:03', 2.89, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:18:34', 1.76, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:20:45', 0.08, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:22:11', 2.87, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:22:31', 3.13, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-29 16:22:51', 1.7, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:24:52', 0.1, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:25:06', 2.76, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:25:25', 0.85, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:25:44', 0.33, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:34:11', 0.91, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36', 0, '2018-05-29 16:34:22', 0.19, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-30 08:46:50', 0.17, 0
0, '127.0.0.1', 'Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko', 0, '2018-05-30 08:46:58', 16.58, 0
